iter	Passed	Remaining
0	194	194185
1	195	97447
2	198	65860
3	199	49646
4	200	39868
5	201	33324
6	201	28634
7	202	25119
8	203	22384
9	204	20196
10	204	18406
11	205	16915
12	206	15662
13	207	14586
14	207	13650
15	210	12957
16	212	12259
17	212	11612
18	213	11027
19	214	10501
20	215	10027
21	215	9595
22	216	9205
23	217	8843
24	218	8519
25	219	8218
26	220	7937
27	221	7675
28	222	7434
29	226	7319
30	227	7110
31	228	6909
32	229	6724
33	230	6550
34	231	6387
35	232	6232
36	234	6094
37	235	5952
38	236	5823
39	241	5793
40	242	5669
41	243	5554
42	244	5443
43	245	5339
44	249	5293
45	257	5344
46	259	5266
47	261	5182
48	262	5096
49	263	5014
50	270	5029
51	271	4953
52	273	4881
53	274	4810
54	275	4741
55	277	4674
56	278	4607
57	279	4544
58	284	4530
59	285	4479
60	288	4439
61	290	4388
62	291	4335
63	294	4301
64	302	4350
65	303	4301
66	305	4252
67	307	4214
68	308	4167
69	310	4130
70	317	4153
71	318	4107
72	320	4065
73	321	4022
74	322	3977
75	324	3939
76	325	3896
77	326	3856
78	332	3878
79	333	3840
80	335	3803
81	336	3765
82	336	3723
83	338	3686
84	339	3651
85	340	3618
86	341	3586
87	344	3565
88	345	3536
89	346	3505
90	348	3476
91	349	3447
92	350	3417
93	351	3390
94	353	3362
95	362	3412
96	363	3384
97	365	3365
98	366	3339
99	368	3317
100	376	3354
101	378	3329
102	379	3306
103	380	3279
104	381	3252
105	382	3225
106	383	3199
107	384	3175
108	390	3192
109	391	3171
110	393	3151
111	394	3131
112	396	3111
113	398	3096
114	399	3075
115	411	3136
116	412	3113
117	413	3091
118	414	3068
119	415	3045
120	418	3038
121	419	3016
122	420	2995
123	420	2973
124	421	2952
125	422	2930
126	423	2908
127	423	2887
128	424	2867
129	425	2847
130	426	2827
131	427	2809
132	428	2792
133	434	2809
134	435	2791
135	436	2773
136	437	2756
137	439	2743
138	440	2728
139	442	2717
140	450	2746
141	452	2731
142	453	2716
143	454	2702
144	455	2686
145	457	2677
146	464	2694
147	466	2683
148	466	2667
149	467	2650
150	468	2633
151	469	2617
152	469	2601
153	470	2586
154	471	2571
155	472	2556
156	473	2540
157	474	2526
158	478	2532
159	479	2519
160	480	2503
161	481	2488
162	481	2473
163	482	2459
164	483	2445
165	485	2437
166	485	2423
167	486	2410
168	487	2396
169	488	2383
170	488	2370
171	492	2368
172	493	2359
173	494	2347
174	495	2334
175	495	2321
176	496	2309
177	497	2296
178	498	2285
179	499	2274
180	500	2265
181	501	2254
182	502	2243
183	503	2231
184	503	2220
185	509	2229
186	510	2218
187	510	2207
188	511	2196
189	512	2186
190	513	2175
191	514	2165
192	515	2154
193	516	2144
194	517	2134
195	517	2124
196	518	2115
197	523	2118
198	524	2109
199	525	2100
200	525	2090
201	527	2083
202	528	2076
203	530	2068
204	531	2060
205	532	2052
206	533	2043
207	534	2034
208	535	2028
209	537	2021
210	538	2012
211	539	2003
212	539	1995
213	540	1986
214	541	1978
215	543	1973
216	544	1966
217	545	1958
218	546	1950
219	547	1942
220	548	1933
221	549	1924
222	549	1916
223	550	1907
224	551	1899
225	552	1891
226	553	1883
227	553	1875
228	558	1880
229	559	1873
230	560	1865
231	561	1857
232	562	1850
233	562	1842
234	564	1836
235	564	1828
236	565	1821
237	566	1814
238	567	1807
239	568	1800
